Feature,Importance
TotalSF,0.42906868533637277
OverallQual,0.2786345844262118
2ndFlrSF,0.026039381414201836
TotalBathrooms,0.02527776345773462
HouseAge,0.021652128452167765
GarageCars,0.019115602491582673
BsmtQual_Ex,0.01869913549161411
YearBuilt,0.016781071941962763
LotArea,0.015771413976102888
BsmtFinSF1,0.014830669405671276
GrLivArea,0.013736235486225106
KitchenAbvGr,0.007552683372850627
OverallCond,0.0072339042996414325
YearRemodAdd,0.00674157658755754
GarageArea,0.00641745172533734
HasFireplace,0.006228359170355215
GarageYrBlt,0.00614725141024046
KitchenQual_Ex,0.006082838115569406
RemodelAge,0.005192738198416956
LandContour_Bnk,0.004757140233440758
KitchenQual_Gd,0.00393707523475244
TotalBsmtSF,0.0037895573753521697
BsmtUnfSF,0.00373416835460341
CentralAir_N,0.003563519233660056
ScreenPorch,0.0033020900155363952
OpenPorchSF,0.0027614219248941916
MSZoning_RM,0.0027301987282788882
Fireplaces,0.0026069098589862933
LotFrontage,0.002552995282602566
OutdoorArea,0.0022917677861398794
Neighborhood_Crawfor,0.0020450486587984254
PoolArea,0.001725796215437396
Neighborhood_StoneBr,0.0016801914408851775
BsmtFinType1_GLQ,0.0015634499287393016
Exterior1st_BrkFace,0.001559024267837162
Id,0.001500327446911224
BsmtExposure_Gd,0.0014264515495192298
TotalPorchSF,0.0013236907753932702
SaleCondition_Abnorml,0.0010551341636467091
WoodDeckSF,0.0009653227940730426
Neighborhood_Edwards,0.0009202796983425937
TotRmsAbvGrd,0.0008648490375988645
SaleType_New,0.0008330579726328676
LotConfig_CulDSac,0.0007979042289358283
GarageType_Detchd,0.000792081732578993
1stFlrSF,0.0007865738936593149
LandContour_HLS,0.0005838157838371508
BsmtQual_Gd,0.000581657506580429
Condition1_Artery,0.00047974990004754514
BsmtFinSF2,0.00045925523713006146
MasVnrArea,0.00045447100012805357
GarageFinish_Unf,0.0004464917356643465
MasVnrType_BrkFace,0.0003745628112664101
MoSold,0.0003717702252124037
SaleCondition_Family,0.00036518188751544835
Functional_Sev,0.0003494036285668353
YrSold,0.00033586195714613293
MSSubClass,0.00033422831303141855
Condition1_PosA,0.00030070803460495427
BedroomAbvGr,0.0002963467722558804
LandSlope_Mod,0.00029463782122332837
Condition1_RRAe,0.00028147748890917104
Functional_Maj1,0.0002647709996154336
Functional_Mod,0.0002611768217515485
Neighborhood_ClearCr,0.00023601815126509523
LotShape_IR3,0.00023325426348327455
MSZoning_FV,0.00023033536519821325
BsmtCond_Fa,0.000223960314410154
3SsnPorch,0.00022110285369276742
Neighborhood_BrkSide,0.00018254192146718322
LotConfig_FR3,0.00017119102260404592
Condition1_PosN,0.00016526663461348116
Condition1_Feedr,0.00015951961190217796
Functional_Min1,0.00015661795394929137
Functional_Maj2,0.00015636340327710832
RoofStyle_Hip,0.0001553368403167118
HalfBath,0.00014918816946112468
Foundation_Wood,0.00014721345302084443
Neighborhood_Veenker,0.00013960093990394513
BsmtFinType1_Unf,0.0001390239665882664
Condition2_PosN,0.000122310894237889
Neighborhood_NridgHt,0.00012015409649921311
Neighborhood_NWAmes,0.00010774168898007134
Alley_Pave,0.00010558422617573778
Exterior2nd_VinylSd,0.00010302652809074972
EnclosedPorch,0.00010282535509461169
SaleType_ConLD,0.00010269680972110028
LotConfig_FR2,0.00010223316350487707
BsmtFullBath,0.00010096476492657022
LotShape_IR2,9.805265385288536e-05
Exterior2nd_AsbShng,9.315253223327504e-05
Neighborhood_Mitchel,9.151914774027877e-05
GarageType_CarPort,8.749941843225754e-05
GarageFinish_Fin,8.610571886356336e-05
BsmtFinType1_BLQ,8.321376902297456e-05
HeatingQC_Fa,8.275113695049514e-05
IsRemodeled,7.997794570709316e-05
ExterQual_Ex,7.560123508738154e-05
SaleType_CWD,6.937482084540816e-05
ExterCond_TA,5.78892628941126e-05
BsmtFinType2_Rec,5.253909030943825e-05
Neighborhood_MeadowV,5.22270264116912e-05
FullBath,5.075264677899772e-05
BsmtFinType2_LwQ,4.794726312416339e-05
Neighborhood_NoRidge,4.581864317135564e-05
Neighborhood_Somerst,4.475665839462188e-05
Foundation_BrkTil,4.464143401723778e-05
LowQualFinSF,4.257723804007354e-05
Foundation_PConc,3.818881220972476e-05
Fence_GdPrv,3.320605634829602e-05
Utilities_NoSeWa,3.287459398675508e-05
MSZoning_C (all),3.238881809347455e-05
ExterQual_Gd,3.095302909945483e-05
Functional_Min2,3.0149490639745495e-05
Neighborhood_Blmngtn,3.0068140107414007e-05
LotConfig_Corner,2.8107074488286613e-05
Exterior2nd_CmentBd,2.7705246009044322e-05
FireplaceQu_Fa,2.696331915197739e-05
BsmtExposure_Av,2.685065173379516e-05
Exterior1st_Plywood,2.5542650584754665e-05
Fence_GdWo,2.39856458706411e-05
Neighborhood_Sawyer,2.3951208403288545e-05
HeatingQC_Ex,2.377219036429074e-05
GarageType_Basment,2.2512938758793042e-05
BldgType_Duplex,2.248000589645831e-05
Exterior2nd_Stucco,2.132008607776524e-05
Condition1_RRAn,2.0372611005297875e-05
Exterior1st_WdShing,2.0256641129412567e-05
Exterior1st_Stucco,1.9843158001644083e-05
ExterCond_Fa,1.9618737490283843e-05
Exterior2nd_AsphShn,1.885716437233251e-05
Exterior2nd_Wd Sdng,1.824491347503934e-05
HasPool,1.8079356144980336e-05
Exterior1st_BrkComm,1.695330548934474e-05
BsmtFinType1_ALQ,1.6718876398526594e-05
Exterior1st_AsbShng,1.60131499988404e-05
BsmtCond_Gd,1.3939055459382478e-05
Foundation_Slab,1.391504054374049e-05
GarageType_BuiltIn,1.3843096999105965e-05
PavedDrive_N,1.305689791068072e-05
MiscVal,1.3039296467964566e-05
RoofStyle_Gambrel,1.2664502364661803e-05
Neighborhood_Gilbert,1.2659004417468223e-05
FireplaceQu_Gd,1.2540888387500405e-05
Exterior1st_Wd Sdng,1.2294143407556773e-05
Heating_Wall,1.1439285317308903e-05
HouseStyle_1.5Fin,1.0886444934587235e-05
GarageQual_Fa,1.0138509402788597e-05
FireplaceQu_TA,9.979397948937699e-06
Exterior2nd_Plywood,9.386012425925382e-06
BsmtCond_None,9.110576967037605e-06
RoofStyle_Flat,9.018480207831592e-06
MasVnrType_BrkCmn,8.704292679562908e-06
HasSecondFloor,7.413274999332186e-06
LotShape_IR1,7.146381634895768e-06
Heating_Grav,6.785164400004333e-06
SaleCondition_Partial,6.609232538706799e-06
PavedDrive_P,6.1455065155254746e-06
SaleType_ConLI,6.106974501453112e-06
Exterior1st_Stone,5.626601839617782e-06
BsmtHalfBath,5.623186404662714e-06
SaleType_COD,5.3624306153768495e-06
SaleType_Oth,5.174355220647169e-06
BldgType_TwnhsE,4.892543092725038e-06
BsmtFinType1_LwQ,4.392113994034858e-06
RoofMatl_Metal,3.6496554980635932e-06
Fence_MnPrv,3.5642780203052446e-06
Neighborhood_SawyerW,3.283312281230231e-06
Fence_MnWw,2.788643336713193e-06
HeatingQC_Gd,2.011933301102406e-06
